time,industry,city,total
2016-02-01,住宿及餐飲業,臺南市,6366444
2016-02-01,住宿及餐飲業,澎湖縣,274845
2016-02-01,批發及零售業,宜蘭縣,14952088
2016-02-01,批發及零售業,花蓮縣,12031720
2016-02-01,批發及零售業,金門縣,3759907
2016-02-01,批發及零售業,南投縣,12822948
2016-02-01,批發及零售業,屏東縣,26766801
2016-02-01,批發及零售業,苗栗縣,17933513
2016-02-01,批發及零售業,桃園市,163304233
2016-02-01,批發及零售業,高雄市,214226765
2016-02-01,批發及零售業,基隆市,8320858
2016-02-01,批發及零售業,連江縣,162782
2016-02-01,批發及零售業,雲林縣,21254786
2016-02-01,批發及零售業,新北市,288671408
2016-02-01,批發及零售業,新竹市,43022045
2016-02-01,批發及零售業,新竹縣,34585800
2016-02-01,批發及零售業,嘉義市,17705025
2016-02-01,批發及零售業,嘉義縣,12505788
2016-02-01,批發及零售業,彰化縣,52429183
2016-02-01,批發及零售業,臺中市,203070837
2016-02-01,批發及零售業,臺北市,769384671
2016-02-01,批發及零售業,臺東縣,7206921
2016-02-01,批發及零售業,臺南市,109423729
2016-02-01,批發及零售業,澎湖縣,1895648
2016-02-01,金融及保險業,宜蘭縣,1321638
2016-02-01,金融及保險業,花蓮縣,881914
2016-02-01,金融及保險業,金門縣,81185
2016-02-01,金融及保險業,南投縣,993195
2016-02-01,金融及保險業,屏東縣,1463710
2016-02-01,金融及保險業,苗栗縣,1141774
2016-02-01,金融及保險業,桃園市,9582736
2016-02-01,金融及保險業,高雄市,12187623
2016-02-01,金融及保險業,基隆市,904959
2016-02-01,金融及保險業,連江縣,1991
2016-02-01,金融及保險業,雲林縣,1361361
2016-02-01,金融及保險業,新北市,15011353
2016-02-01,金融及保險業,新竹市,3614906
2016-02-01,金融及保險業,新竹縣,1644648
2016-02-01,金融及保險業,嘉義市,1169918
2016-02-01,金融及保險業,嘉義縣,890880
2016-02-01,金融及保險業,彰化縣,2719203
2016-02-01,金融及保險業,臺中市,14264771
2016-02-01,金融及保險業,臺北市,293702050
2016-02-01,金融及保險業,臺東縣,378116
2016-02-01,金融及保險業,臺南市,6205445
2016-02-01,金融及保險業,澎湖縣,132468
2016-02-01,農、林、漁、牧業,宜蘭縣,101880
2016-02-01,農、林、漁、牧業,花蓮縣,43942
2016-02-01,農、林、漁、牧業,金門縣,12486
2016-02-01,農、林、漁、牧業,南投縣,220043
2016-02-01,農、林、漁、牧業,屏東縣,602755
2016-02-01,農、林、漁、牧業,苗栗縣,91423
2016-02-01,農、林、漁、牧業,桃園市,398659
2016-02-01,農、林、漁、牧業,高雄市,1063440
2016-02-01,農、林、漁、牧業,基隆市,20410
2016-02-01,農、林、漁、牧業,連江縣,0
2016-02-01,農、林、漁、牧業,雲林縣,196205
2016-02-01,農、林、漁、牧業,新北市,368516
2016-02-01,農、林、漁、牧業,新竹市,30231
2016-02-01,農、林、漁、牧業,新竹縣,113435
2016-02-01,農、林、漁、牧業,嘉義市,20390
2016-02-01,農、林、漁、牧業,嘉義縣,374528
2016-02-01,農、林、漁、牧業,彰化縣,437817
2016-02-01,農、林、漁、牧業,臺中市,340608
2016-02-01,農、林、漁、牧業,臺北市,1565030
2016-02-01,農、林、漁、牧業,臺東縣,87632
2016-02-01,農、林、漁、牧業,臺南市,832587
2016-02-01,農、林、漁、牧業,澎湖縣,0
2016-02-01,運輸及倉儲業,宜蘭縣,1366453
2016-02-01,運輸及倉儲業,花蓮縣,781214
2016-02-01,運輸及倉儲業,金門縣,510563
2016-02-01,運輸及倉儲業,南投縣,605202
2016-02-01,運輸及倉儲業,屏東縣,647013
2016-02-01,運輸及倉儲業,苗栗縣,868365
2016-02-01,運輸及倉儲業,桃園市,27603324
2016-02-01,運輸及倉儲業,高雄市,18890736
2016-02-01,運輸及倉儲業,基隆市,4876718
2016-02-01,運輸及倉儲業,連江縣,109907
2016-02-01,運輸及倉儲業,雲林縣,1843692
2016-02-01,運輸及倉儲業,新北市,17078240
2016-02-01,運輸及倉儲業,新竹市,1141088
2016-02-01,運輸及倉儲業,新竹縣,1432531
2016-02-01,運輸及倉儲業,嘉義市,706897
2016-02-01,運輸及倉儲業,嘉義縣,1567632
2016-02-01,運輸及倉儲業,彰化縣,2030181
2016-02-01,運輸及倉儲業,臺中市,8556959
2016-02-01,運輸及倉儲業,臺北市,72600736
2016-02-01,運輸及倉儲業,臺東縣,452375
2016-02-01,運輸及倉儲業,臺南市,3511517
2016-02-01,運輸及倉儲業,澎湖縣,294689
2016-02-01,製造業,宜蘭縣,14032018
2016-02-01,製造業,花蓮縣,2885035
2016-02-01,製造業,金門縣,2139810
2016-02-01,製造業,南投縣,14338064
2016-02-01,製造業,屏東縣,14963527
2016-02-01,製造業,苗栗縣,68729524
2016-02-01,製造業,桃園市,211753408
2016-02-01,製造業,高雄市,219359932
2016-02-01,製造業,基隆市,3603597
2016-02-01,製造業,連江縣,90764
2016-02-01,製造業,雲林縣,129990585
2016-02-01,製造業,新北市,214394539
2016-02-01,製造業,新竹市,190922200
2016-02-01,製造業,新竹縣,83485572
2016-02-01,製造業,嘉義市,3016823
2016-02-01,製造業,嘉義縣,18535219
2016-02-01,製造業,彰化縣,105389343
2016-02-01,製造業,臺中市,208356565
2016-02-01,製造業,臺北市,264864401
2016-02-01,製造業,臺東縣,566808
2016-02-01,製造業,臺南市,149777832
2016-02-01,製造業,澎湖縣,163527
2016-02-01,醫療保健及社會工作服務業,宜蘭縣,4828
2016-02-01,醫療保健及社會工作服務業,花蓮縣,12660
2016-02-01,醫療保健及社會工作服務業,金門縣,188
2016-02-01,醫療保健及社會工作服務業,南投縣,4119
2016-02-01,醫療保健及社會工作服務業,屏東縣,7720
2016-02-01,醫療保健及社會工作服務業,苗栗縣,806
2016-02-01,醫療保健及社會工作服務業,桃園市,514095
2016-02-01,醫療保健及社會工作服務業,高雄市,2557394
2016-02-01,醫療保健及社會工作服務業,基隆市,3150
2016-02-01,醫療保健及社會工作服務業,連江縣,0
2016-02-01,醫療保健及社會工作服務業,雲林縣,3289
2016-02-01,醫療保健及社會工作服務業,新北市,86167
2016-02-01,醫療保健及社會工作服務業,新竹市,1978
2016-02-01,醫療保健及社會工作服務業,新竹縣,13231
2016-02-01,醫療保健及社會工作服務業,嘉義市,0
2016-02-01,醫療保健及社會工作服務業,嘉義縣,0
2016-02-01,醫療保健及社會工作服務業,彰化縣,12595
2016-02-01,醫療保健及社會工作服務業,臺中市,114164
2016-02-01,醫療保健及社會工作服務業,臺北市,570966
2016-02-01,醫療保健及社會工作服務業,臺東縣,2293
2016-02-01,醫療保健及社會工作服務業,臺南市,40548
2016-02-01,醫療保健及社會工作服務業,澎湖縣,0
2016-02-01,藝術、娛樂及休閒服務業,宜蘭縣,254550
2016-02-01,藝術、娛樂及休閒服務業,花蓮縣,189393
2016-02-01,藝術、娛樂及休閒服務業,金門縣,17421
2016-02-01,藝術、娛樂及休閒服務業,南投縣,420999
2016-02-01,藝術、娛樂及休閒服務業,屏東縣,411427
2016-02-01,藝術、娛樂及休閒服務業,苗栗縣,203495
2016-02-01,藝術、娛樂及休閒服務業,桃園市,878558
2016-02-01,藝術、娛樂及休閒服務業,高雄市,1056080
2016-02-01,藝術、娛樂及休閒服務業,基隆市,146288
2016-02-01,藝術、娛樂及休閒服務業,連江縣,4437
2016-02-01,藝術、娛樂及休閒服務業,雲林縣,282799
2016-02-01,藝術、娛樂及休閒服務業,新北市,1558650
2016-02-01,藝術、娛樂及休閒服務業,新竹市,247254
2016-02-01,藝術、娛樂及休閒服務業,新竹縣,389135
2016-02-01,藝術、娛樂及休閒服務業,嘉義市,143694
2016-02-01,藝術、娛樂及休閒服務業,嘉義縣,130083
2016-02-01,藝術、娛樂及休閒服務業,彰化縣,226161
2016-02-01,藝術、娛樂及休閒服務業,臺中市,1211488
2016-02-01,藝術、娛樂及休閒服務業,臺北市,4259551
2016-02-01,藝術、娛樂及休閒服務業,臺東縣,61616
2016-02-01,藝術、娛樂及休閒服務業,臺南市,727040
2016-02-01,藝術、娛樂及休閒服務業,澎湖縣,21882
2016-04-01,不動產業,宜蘭縣,998553
2016-04-01,不動產業,花蓮縣,469308
2016-04-01,不動產業,金門縣,701778
2016-04-01,不動產業,南投縣,358437
2016-04-01,不動產業,屏東縣,555922
2016-04-01,不動產業,苗栗縣,974948
2016-04-01,不動產業,桃園市,11443361
2016-04-01,不動產業,高雄市,10485020
2016-04-01,不動產業,基隆市,2057929
2016-04-01,不動產業,連江縣,200
2016-04-01,不動產業,雲林縣,721228
2016-04-01,不動產業,新北市,22069452
2016-04-01,不動產業,新竹市,2683950
2016-04-01,不動產業,新竹縣,3929497
2016-04-01,不動產業,嘉義市,586224
2016-04-01,不動產業,嘉義縣,250388
2016-04-01,不動產業,彰化縣,1594242
2016-04-01,不動產業,臺中市,26616774
2016-04-01,不動產業,臺北市,68291607
2016-04-01,不動產業,臺東縣,173716
2016-04-01,不動產業,臺南市,5299742
2016-04-01,不動產業,澎湖縣,90122
2016-04-01,住宿及餐飲業,宜蘭縣,1742077
2016-04-01,住宿及餐飲業,花蓮縣,1790112
2016-04-01,住宿及餐飲業,金門縣,224781
2016-04-01,住宿及餐飲業,南投縣,1847552
2016-04-01,住宿及餐飲業,屏東縣,2444873
2016-04-01,住宿及餐飲業,苗栗縣,1132040
2016-04-01,住宿及餐飲業,桃園市,8062080
2016-04-01,住宿及餐飲業,高雄市,9915368
2016-04-01,住宿及餐飲業,基隆市,900789
2016-04-01,住宿及餐飲業,連江縣,39699
2016-04-01,住宿及餐飲業,雲林縣,976626
2016-04-01,住宿及餐飲業,新北市,9717942
2016-04-01,住宿及餐飲業,新竹市,2245249
2016-04-01,住宿及餐飲業,新竹縣,1953998
2016-04-01,住宿及餐飲業,嘉義市,1356399
2016-04-01,住宿及餐飲業,嘉義縣,813838
2016-04-01,住宿及餐飲業,彰化縣,2112544
2016-04-01,住宿及餐飲業,臺中市,10822145
2016-04-01,住宿及餐飲業,臺北市,33856288
2016-04-01,住宿及餐飲業,臺東縣,1249036
2016-04-01,住宿及餐飲業,臺南市,6081389
2016-04-01,住宿及餐飲業,澎湖縣,348464
2016-04-01,批發及零售業,宜蘭縣,14671636
2016-04-01,批發及零售業,花蓮縣,11585732
2016-04-01,批發及零售業,金門縣,3562887
2016-04-01,批發及零售業,南投縣,13257685
2016-04-01,批發及零售業,屏東縣,27680839
2016-04-01,批發及零售業,苗栗縣,20562439
2016-04-01,批發及零售業,桃園市,173047993
2016-04-01,批發及零售業,高雄市,233585864
2016-04-01,批發及零售業,基隆市,8337086
2016-04-01,批發及零售業,連江縣,187316
2016-04-01,批發及零售業,雲林縣,23950403
2016-04-01,批發及零售業,新北市,310310457
2016-04-01,批發及零售業,新竹市,45564008
2016-04-01,批發及零售業,新竹縣,38522483
2016-04-01,批發及零售業,嘉義市,18002260
2016-04-01,批發及零售業,嘉義縣,13585290
2016-04-01,批發及零售業,彰化縣,58061667
2016-04-01,批發及零售業,臺中市,220686944
2016-04-01,批發及零售業,臺北市,861250065
2016-04-01,批發及零售業,臺東縣,7270537
2016-04-01,批發及零售業,臺南市,116234540
2016-04-01,批發及零售業,澎湖縣,2155575
2016-04-01,金融及保險業,宜蘭縣,1358087
2016-04-01,金融及保險業,花蓮縣,943057
2016-04-01,金融及保險業,金門縣,82489
2016-04-01,金融及保險業,南投縣,976988
2016-04-01,金融及保險業,屏東縣,1535111
2016-04-01,金融及保險業,苗栗縣,1166641
2016-04-01,金融及保險業,桃園市,9495100
2016-04-01,金融及保險業,高雄市,11920123
2016-04-01,金融及保險業,基隆市,852096
2016-04-01,金融及保險業,連江縣,1988
2016-04-01,金融及保險業,雲林縣,1696716
2016-04-01,金融及保險業,新北市,15461953
2016-04-01,金融及保險業,新竹市,3145620
2016-04-01,金融及保險業,新竹縣,1674522
2016-04-01,金融及保險業,嘉義市,1267550
2016-04-01,金融及保險業,嘉義縣,941168
2016-04-01,金融及保險業,彰化縣,2781747
2016-04-01,金融及保險業,臺中市,15113057
2016-04-01,金融及保險業,臺北市,254498121
2016-04-01,金融及保險業,臺東縣,384962
2016-04-01,金融及保險業,臺南市,6329958
2016-04-01,金融及保險業,澎湖縣,139645
2016-04-01,農、林、漁、牧業,宜蘭縣,95837
2016-04-01,農、林、漁、牧業,花蓮縣,54102
2016-04-01,農、林、漁、牧業,金門縣,16455
2016-04-01,農、林、漁、牧業,南投縣,251274
2016-04-01,農、林、漁、牧業,屏東縣,645355
2016-04-01,農、林、漁、牧業,苗栗縣,99514
2016-04-01,農、林、漁、牧業,桃園市,379763
2016-04-01,農、林、漁、牧業,高雄市,1388213
