"Country","Date","Confirmed","Deaths","New Cases","id","Code"
"Costa Rica",2022-05-03,852074,8405,0,49,"CRI"
"Guatemala",2022-05-03,846611,17600,65,83,"GTM"
"Latvia",2022-05-03,823110,5777,384,114,"LVA"
"Azerbaijan",2022-05-03,792579,9709,1,14,"AZE"
"Panama",2022-05-03,777120,8184,700,155,"PAN"
"Saudi Arabia",2022-05-03,754011,9087,0,175,"SAU"
"Sri Lanka",2022-05-03,663408,16505,0,189,"LKA"
"Paraguay",2022-05-03,649455,18870,0,157,"PRY"
"Kuwait",2022-05-03,631409,2555,0,111,"KWT"
"Dominican Republic",2022-05-03,579443,4376,0,59,"DOM"
"Estonia",2022-05-03,572434,2548,102,65,"EST"
"Bahrain",2022-05-03,568706,1475,0,16,"BHR"
"Venezuela",2022-05-03,522434,5709,109,216,"VEN"
"Egypt",2022-05-03,513468,24606,0,61,"EGY"
"Libya",2022-05-03,501916,6430,0,118,"LBY"
"Cyprus",2022-05-03,480220,1015,0,54,"CYP"
"Ethiopia",2022-05-03,470587,7510,6,66,"ETH"
"Honduras",2022-05-03,423179,10893,0,89,"HND"
"Armenia",2022-05-03,422874,8622,0,10,"ARM"
"Oman",2022-05-03,389126,4258,0,152,"OMN"
"Bosnia and Herzegovina",2022-05-03,377145,15766,18,26,"BIH"
"Qatar",2022-05-03,364602,677,0,163,"QAT"
"Kenya",2022-05-03,323792,5649,6,106,"KEN"
"Zambia",2022-05-03,319755,3976,22,221,"ZMB"
"North Macedonia",2022-05-03,309769,9280,210,123,"MKD"
"Botswana",2022-05-03,305984,2688,0,27,"BWA"
"Albania",2022-05-03,275177,3496,10,2,"ALB"
"Algeria",2022-05-03,265782,6875,0,3,"DZA"
"Nigeria",2022-05-03,255753,3143,0,147,"NGA"
"Zimbabwe",2022-05-03,247842,5469,0,222,"ZWE"
"Luxembourg",2022-05-03,238917,1068,25,121,"LUX"
"Uzbekistan",2022-05-03,238628,1637,1,214,"UZB"
"Montenegro",2022-05-03,235333,2715,45,138,"MNE"
"Kosovo",2022-05-03,228051,3128,11,110,"KSV"
"Mozambique",2022-05-03,225375,2201,0,140,"MOZ"
"Mauritius",2022-05-03,221749,992,0,132,"MUS"
"Kyrgyzstan",2022-05-03,200993,2991,0,112,"KGZ"
"Iceland",2022-05-03,185795,119,68,92,"ISL"
"Maldives",2022-05-03,179171,298,0,127,"MDV"
"Afghanistan",2022-05-03,178879,7683,0,1,"AFG"
"Taiwan*",2022-05-03,173942,876,23134,196,"TWN"
"Uganda",2022-05-03,164104,3597,0,208,"UGA"
"El Salvador",2022-05-03,162089,4128,0,62,"SLV"
"Ghana",2022-05-03,161204,1445,0,77,"GHA"
"Namibia",2022-05-03,158545,4025,0,141,"NAM"
"Trinidad and Tobago",2022-05-03,148335,3831,468,203,"TTO"
"Brunei",2022-05-03,141976,159,65,30,"BRN"
"Cambodia",2022-05-03,136254,3056,2,36,"KHM"
"Jamaica",2022-05-03,130299,2967,133,101,"JAM"
"Rwanda",2022-05-03,129834,1459,0,166,"RWA"
"Cameroon",2022-05-03,119780,1927,0,37,"CMR"
"Angola",2022-05-03,99287,1900,0,6,"AGO"
"Malta",2022-05-03,92080,700,114,129,"MLT"
"Senegal",2022-05-03,86005,1966,4,176,"SEN"
"Malawi",2022-05-03,85788,2634,0,125,"MWI"
"Cote d'Ivoire",2022-05-03,81957,799,0,50,"CIV"
"Suriname",2022-05-03,79336,1328,0,191,"SUR"
"Eswatini",2022-05-03,70678,1397,21,192,"SWZ"
"Barbados",2022-05-03,70449,395,369,18,"BRB"
"Fiji",2022-05-03,64646,862,12,69,"FJI"
"Madagascar",2022-05-03,64152,1391,0,124,"MDG"
"Guyana",2022-05-03,63482,1228,9,87,"GUY"
"Sudan",2022-05-03,62117,4931,0,190,"SDN"
"Bhutan",2022-05-03,59274,21,27,24,"BTN"
"Mauritania",2022-05-03,58688,982,0,131,"MRT"
"Belize",2022-05-03,57491,676,0,21,"BLZ"
"Cabo Verde",2022-05-03,56028,401,0,35,"CPV"
"Gabon",2022-05-03,47602,304,0,73,"GAB"
"Papua New Guinea",2022-05-03,43821,650,4,156,"PNG"
"Seychelles",2022-05-03,42548,166,0,178,"SYC"
"Andorra",2022-05-03,41349,153,0,5,"AND"
"Burundi",2022-05-03,40552,15,0,34,"BDI"
"Togo",2022-05-03,36993,273,2,201,"TGO"
"Guinea",2022-05-03,36549,442,0,86,"GIN"
"Bahamas",2022-05-03,33558,798,0,15,"BHM"
"Mali",2022-05-03,30850,732,7,128,"MLI"
"Haiti",2022-05-03,30697,835,0,88,"HTI"
"Benin",2022-05-03,26605,163,0,22,"BEN"
"Somalia",2022-05-03,26485,1361,0,185,"SOM"
"Congo (Kinshasa)",2022-05-03,24041,385,0,46,"COD"
"Saint Lucia",2022-05-03,23394,368,0,168,"LCA"
"Timor-Leste",2022-05-03,22875,130,1,200,"TLS"
"Burkina Faso",2022-05-03,20865,383,0,32,"BFA"
"South Sudan",2022-05-03,17487,138,4,187,"SSD"
"Liechtenstein",2022-05-03,17101,82,0,119,"LIE"
"San Marino",2022-05-03,16524,115,39,173,"SMR"
"Equatorial Guinea",2022-05-03,15907,183,0,63,"GNQ"
"Djibouti",2022-05-03,15631,189,0,57,"DJI"
"Grenada",2022-05-03,14743,220,0,81,"GRD"
"Nicaragua",2022-05-03,14395,234,0,146,"NIC"
"Central African Republic",2022-05-03,14358,113,0,40,"CAF"
"Dominica",2022-05-03,12143,63,0,58,"DMA"
"Gambia",2022-05-03,11995,365,0,74,"GMB"
"Yemen",2022-05-03,11819,2149,0,220,"YEM"
"Monaco",2022-05-03,11801,57,30,136,"MCO"
"Eritrea",2022-05-03,9734,103,0,64,"ERI"
"Niger",2022-05-03,8924,309,0,148,"NER"
"Saint Vincent and the Grenadines",2022-05-03,8425,106,6,171,"VCT"
"Guinea-Bissau",2022-05-03,8202,171,0,85,"GNB"
"Sierra Leone",2022-05-03,7681,125,0,179,"SLE"
"Antigua and Barbuda",2022-05-03,7626,136,0,8,"ATG"
"Liberia",2022-05-03,7434,294,0,117,"LBR"
"Chad",2022-05-03,7412,193,1,41,"TCD"
"Sao Tome and Principe",2022-05-03,5964,73,0,174,"STP"
"Saint Kitts and Nevis",2022-05-03,5566,43,1,167,"KNA"
"Holy See",2022-05-03,26,0,0,NA,NA
"Burma",2022-05-03,NA,0,NA,33,"MMR"
"Congo (Brazzaville)",2022-05-03,NA,0,NA,47,"COG"
"Laos",2022-05-03,NA,0,NA,113,"LAO"
"Moldova",2022-05-03,NA,0,NA,135,"MDA"
"Syria",2022-05-03,NA,0,NA,195,"SYR"
"Tanzania",2022-05-03,NA,0,NA,198,"TZA"
"West Bank and Gaza",2022-05-03,NA,0,NA,219,"WBG"
"Western Sahara",2022-05-03,NA,0,NA,NA,NA
